city,city_code,建築物高さ情報有り件数,建築物高さ情報有り割合,建築物高さ情報無し件数,建築物高さ情報無し割合,合計件数
神奈川県川崎市川崎区,14131,49079,0.8764576673750379,6918,0.12354233262496205,55997
神奈川県川崎市幸区,14132,25947,0.8940458962166632,3075,0.10595410378333678,29022
神奈川県川崎市中原区,14133,37496,0.8804358035127265,5092,0.11956419648727341,42588
神奈川県川崎市高津区,14134,35855,0.8797909407665505,4899,0.12020905923344948,40754
神奈川県川崎市多摩区,14135,41641,0.8860164262309035,5357,0.11398357376909656,46998
神奈川県川崎市宮前区,14136,39503,0.8979383083672402,4490,0.10206169163275976,43993
神奈川県川崎市麻生区,14137,41410,0.8901356376690097,5111,0.10986436233099031,46521
神奈川県相模原市緑区,14151,74868,0.9161078752875532,6856,0.08389212471244677,81724
神奈川県相模原市中央区,14152,88185,0.9844273275284662,1395,0.015572672471533825,89580
神奈川県相模原市南区,14153,83531,0.9849192312227332,1279,0.015080768777266832,84810
神奈川県横須賀市,14201,136301,0.9196353871481392,11911,0.08036461285186085,148212
神奈川県厚木市,14212,76903,0.7136970664389855,30850,0.28630293356101455,107753
神奈川県大和市,14213,362,0.9783783783783784,8,0.021621621621621623,370
神奈川県座間市,14216,1296,0.993103448275862,9,0.006896551724137931,1305
神奈川県箱根町,14382,12665,0.8893960674157303,1575,0.11060393258426966,14240
神奈川県愛川町,14401,41,0.9761904761904762,1,0.023809523809523808,42
新潟県新潟市北区,15101,48152,1.0,0,0.0,48152
新潟県新潟市東区,15102,62737,1.0,0,0.0,62737
新潟県新潟市中央区,15103,70397,1.0,0,0.0,70397
新潟県新潟市江南区,15104,41105,1.0,0,0.0,41105
新潟県新潟市秋葉区,15105,44861,1.0,0,0.0,44861
新潟県新潟市南区,15106,33739,1.0,0,0.0,33739
新潟県新潟市西区,15107,72928,1.0,0,0.0,72928
新潟県新潟市西蒲区,15108,32730,1.0,0,0.0,32730
新潟県長岡市,15202,160204,0.9686438115968318,5186,0.03135618840316827,165390
新潟県新発田市,15206,24,1.0,0,0.0,24
新潟県上越市,15222,102522,0.9837641775577177,1692,0.01623582244228223,104214
新潟県聖籠町,15307,1,1.0,0,0.0,1
石川県金沢市,17201,183579,0.8581706159808151,30340,0.14182938401918482,213919
石川県加賀市,17206,52721,0.9968800816851341,165,0.003119918314865938,52886
山梨県甲府市,19201,120661,0.9899983590416803,1219,0.010001640958319659,121880
長野県松本市,20202,178827,0.9721024793568132,5132,0.027897520643186798,183959
長野県岡谷市,20204,29858,0.7458905820634524,10172,0.25410941793654757,40030
長野県諏訪市,20206,39092,1.0,0,0.0,39092
長野県伊那市,20209,75688,0.9967603445097057,246,0.003239655490294203,75934
長野県茅野市,20214,68974,0.9892007400289701,753,0.010799259971029873,69727
長野県佐久市,20217,91323,1.0,0,0.0,91323
岐阜県岐阜市,21201,254950,0.9934265129346119,1687,0.006573487065388077,256637
岐阜県美濃加茂市,21211,64746,0.9922606550091186,505,0.007739344990881366,65251
静岡県静岡市葵区,22101,117137,0.9514824141012103,5973,0.0485175858987897,123110
静岡県静岡市駿河区,22102,87178,0.9435154821043973,5219,0.05648451789560267,92397
静岡県静岡市清水区,22103,126777,0.9296955208119445,9587,0.0703044791880555,136364
静岡県浜松市中区,22131,100789,1.0,0,0.0,100789
静岡県浜松市東区,22132,73084,1.0,0,0.0,73084
静岡県浜松市西区,22133,85296,1.0,0,0.0,85296
静岡県浜松市南区,22134,62630,1.0,0,0.0,62630
静岡県浜松市北区,22135,85267,1.0,0,0.0,85267
静岡県浜松市浜北区,22136,71836,1.0,0,0.0,71836
静岡県浜松市天竜区,22137,35478,1.0,0,0.0,35478
静岡県熱海市,22205,22280,1.0,0,0.0,22280
静岡県三島市,22206,48550,1.0,0,0.0,48550
静岡県富士宮市,22207,86334,1.0,0,0.0,86334
静岡県伊東市,22208,46364,1.0,0,0.0,46364
静岡県島田市,22209,60590,1.0,0,0.0,60590
静岡県富士市,22210,128300,1.0,0,0.0,128300
静岡県磐田市,22211,89329,1.0,0,0.0,89329
静岡県焼津市,22212,64951,1.0,0,0.0,64951
静岡県掛川市,22213,82702,0.7446002034771179,28367,0.2553997965228822,111069
静岡県藤枝市,22214,69926,1.0,0,0.0,69926
静岡県御殿場市,22215,44071,1.0,0,0.0,44071
静岡県袋井市,22216,54341,1.0,0,0.0,54341
静岡県下田市,22219,18456,1.0,0,0.0,18456
静岡県裾野市,22220,22695,1.0,0,0.0,22695
静岡県湖西市,22221,34505,1.0,0,0.0,34505
静岡県伊豆市,22222,29942,1.0,0,0.0,29942
静岡県御前崎市,22223,30000,1.0,0,0.0,30000
静岡県菊川市,22224,29028,0.7105649662195241,11824,0.28943503378047586,40852
静岡県伊豆の国市,22225,27240,1.0,0,0.0,27240
静岡県牧之原市,22226,38120,1.0,0,0.0,38120
静岡県東伊豆町,22301,11244,1.0,0,0.0,11244
静岡県河津町,22302,8264,1.0,0,0.0,8264
静岡県南伊豆町,22304,9619,1.0,0,0.0,9619
静岡県松崎町,22305,6826,1.0,0,0.0,6826
静岡県西伊豆町,22306,7929,1.0,0,0.0,7929
静岡県函南町,22325,19029,1.0,0,0.0,19029
静岡県清水町,22341,12757,1.0,0,0.0,12757
静岡県長泉町,22342,14574,1.0,0,0.0,14574
静岡県小山町,22344,11384,1.0,0,0.0,11384
静岡県吉田町,22424,19907,1.0,0,0.0,19907
静岡県川根本町,22429,7911,1.0,0,0.0,7911
静岡県森町,22461,14272,1.0,0,0.0,14272
愛知県名古屋市千種区,23101,37596,0.9421611868484362,2308,0.05783881315156375,39904
愛知県名古屋市東区,23102,16554,0.9371603260869565,1110,0.06283967391304347,17664
愛知県名古屋市北区,23103,45523,0.9199725158135117,3960,0.08002748418648829,49483
愛知県名古屋市西区,23104,46893,0.9234359307615053,3888,0.07656406923849471,50781
愛知県名古屋市中村区,23105,47696,0.9357844964586317,3273,0.06421550354136828,50969
愛知県名古屋市中区,23106,17059,0.9769213148551139,403,0.02307868514488604,17462
愛知県名古屋市昭和区,23107,29925,0.945706791391461,1718,0.05429320860853901,31643
愛知県名古屋市瑞穂区,23108,32822,0.935526165773572,2262,0.064473834226428,35084
愛知県名古屋市熱田区,23109,18066,0.9426066993634561,1100,0.05739330063654388,19166
愛知県名古屋市中川区,23110,71517,0.8956193958823824,8335,0.1043806041176176,79852
愛知県名古屋市港区,23111,51484,0.8818622497045272,6897,0.11813775029547284,58381
愛知県名古屋市南区,23112,46642,0.9281620632014647,3610,0.07183793679853538,50252
愛知県名古屋市守山区,23113,58188,0.9068777956142948,5975,0.09312220438570516,64163
愛知県名古屋市緑区,23114,80328,0.916201881950385,7347,0.08379811804961505,87675
愛知県名古屋市名東区,23115,38212,0.9154109671082576,3531,0.08458903289174233,41743
愛知県名古屋市天白区,23116,40756,0.9143651986628677,3817,0.08563480133713235,44573
愛知県豊橋市,23201,219677,0.9881561783095677,2633,0.01184382169043228,222310
愛知県岡崎市,23202,146257,0.6832747029941183,67796,0.3167252970058817,214053
愛知県春日井市,23206,196281,0.9499336966306273,10345,0.050066303369372685,206626
愛知県豊川市,23207,133498,0.9889693081556001,1489,0.011030691844399832,134987
愛知県津島市,23208,34482,1.0,0,0.0,34482
愛知県豊田市,23211,284359,0.8436400424847654,52703,0.1563599575152346,337062
愛知県安城市,23212,69399,0.6563546257589801,36335,0.34364537424101993,105734
愛知県日進市,23230,51655,0.9352876206340872,3574,0.06471237936591284,55229
三重県四日市市,24202,220653,0.9878230582926316,2720,0.012176941707368393,223373
三重県熊野市,24212,29819,1.0,0,0.0,29819
京都府京都市北区,26101,47607,0.9964626590756865,169,0.003537340924313463,47776
京都府京都市上京区,26102,28211,0.9994685750726281,15,0.0005314249273719266,28226
京都府京都市左京区,26103,62884,0.9961506170101542,243,0.0038493829898458664,63127
京都府京都市中京区,26104,34192,0.9997660818713451,8,0.00023391812865497077,34200
京都府京都市東山区,26105,18254,0.9995072003504353,9,0.0004927996495646936,18263
京都府京都市下京区,26106,25635,0.999804992199688,5,0.0001950078003120125,25640
京都府京都市南区,26107,36442,0.9964453680411244,130,0.0035546319588756425,36572
京都府京都市右京区,26108,68014,0.9974921170345384,171,0.0025078829654616116,68185
京都府京都市伏見区,26109,90831,0.994285901940823,522,0.005714098059177038,91353
京都府京都市山科区,26110,47998,0.9948390573507161,249,0.005160942649283893,48247
京都府京都市西京区,26111,46209,0.9960553543714433,183,0.003944645628556648,46392
大阪府大阪市都島区,27102,15850,0.8972036680629458,1816,0.10279633193705423,17666
大阪府大阪市福島区,27103,12522,0.9336415150611392,890,0.06635848493886072,13412
大阪府大阪市此花区,27104,15301,0.8684374822634656,2318,0.13156251773653443,17619
大阪府大阪市西区,27106,11815,0.9374008251348778,789,0.06259917486512219,12604
大阪府大阪市港区,27107,15906,0.924713679437242,1295,0.07528632056275798,17201
大阪府大阪市大正区,27108,17916,0.9207050722030937,1543,0.07929492779690632,19459
大阪府大阪市天王寺区,27109,13079,0.9189208178177475,1154,0.08107918218225252,14233
